
set Buses :=     1     2     3     4     5     6     7     8     9;
set Lines :=   1   2   3   4   5   6   7   8   9;
set Generators :=   1   2   3;


# Generator data:

param Cost1 :=    1 1100.000000000000000,   2  850.000000000000110,   3 1225.000000000000000;
param Cost2 :=    1  500.000000000000000,   2  120.000000000000000,   3  100.000000000000000;
param Cost3 :=    1  150.000000000000000,   2  600.000000000000000,   3  335.000000000000000;
param RealPowerGenLimitLower :=    1    0.100000000000000,   2    0.100000000000000,   3    0.100000000000000;
param RealPowerGenLimitUpper :=    1    2.500000000000000,   2    3.000000000000000,   3    2.700000000000000;
param ReactivePowerGenLimitLower :=    1   -3.000000000000000,   2   -3.000000000000000,   3   -3.000000000000000;
param ReactivePowerGenLimitUpper :=    1    3.000000000000000,   2    3.000000000000000,   3    3.000000000000000;
param GenLocation :=    1            1,   2            2,   3            3;


# Bus data:

param SusceptanceOfReactivePower :=    1    0.000000000000000,   2    0.000000000000000,   3    0.000000000000000,   4    0.000000000000000,   5    0.000000000000000,   6    0.000000000000000,   7    0.000000000000000,   8    0.000000000000000,   9    0.000000000000000;
param VoltageLimitLower :=    1    0.900000000000000,   2    0.900000000000000,   3    0.900000000000000,   4    0.900000000000000,   5    0.900000000000000,   6    0.900000000000000,   7    0.900000000000000,   8    0.900000000000000,   9    0.900000000000000;
param VoltageLimitUpper :=    1    1.100000000000000,   2    1.100000000000000,   3    1.100000000000000,   4    1.100000000000000,   5    1.100000000000000,   6    1.100000000000000,   7    1.100000000000000,   8    1.100000000000000,   9    1.100000000000000;
param RealPowerBusDemand :=    1    0.000000000000000,   2    0.000000000000000,   3    0.000000000000000,   4    0.000000000000000,   5    0.900000000000000,   6    0.000000000000000,   7    1.000000000000000,   8    0.000000000000000,   9    1.250000000000000;
param ReactivePowerBusDemand :=    1    0.000000000000000,   2    0.000000000000000,   3    0.000000000000000,   4    0.000000000000000,   5    0.300000000000000,   6    0.000000000000000,   7    0.350000000000000,   8    0.000000000000000,   9    0.500000000000000;


# Line data:

param ThermalLineLimit :=    1    2.500000000000000,   2    2.500000000000000,   3    1.500000000000000,   4    3.000000000000000,   5    1.500000000000000,   6    2.500000000000000,   7    2.500000000000000,   8    2.500000000000000,   9    2.500000000000000;
param LineConductance :=    1    0.000000000000000,   2    1.942191248714727,   3    1.282009138424115,   4    0.000000000000000,   5    1.155087480890097,   6    1.617122473246136,   7    0.000000000000000,   8    1.187604379291149,   9    1.365187713310580;
param LineSusceptance :=    1  -17.361111111111111,   2  -10.510682051867933,   3   -5.588244962361526,   4  -17.064846416382252,   5   -9.784270426363172,   6  -13.697978596908442,   7  -16.000000000000000,   8   -5.975134533308591,   9  -11.604095563139930;
param ShuntSusceptance :=    1    0.000000000000000,   2    0.158000000000000,   3    0.358000000000000,   4    0.000000000000000,   5    0.209000000000000,   6    0.149000000000000,   7    0.000000000000000,   8    0.306000000000000,   9    0.176000000000000;
param LineResistance :=    1    0.000000000000000,   2    0.017000000000000,   3    0.039000000000000,   4    0.000000000000000,   5    0.011900000000000,   6    0.008500000000000,   7    0.000000000000000,   8    0.032000000000000,   9    0.010000000000000;
param FromBus :=    1            1,   2            4,   3            5,   4            3,   5            6,   6            7,   7            8,   8            8,   9            9;
param ToBus :=    1            4,   2            5,   3            6,   4            6,   5            7,   6            8,   7            2,   8            9,   9            4;
